dataset_1,dataset_2,k,jaccard
naijasenti_yor,naijasenti_pcm,20,0.0
naijasenti_yor,amazon_polarity,20,0.0
naijasenti_yor,imdb,20,0.0
naijasenti_yor,nollysenti_yor,20,0.0
naijasenti_yor,tweet_eval,20,0.0256
naijasenti_yor,nollysenti_pcm,20,0.0
naijasenti_pcm,amazon_polarity,20,0.0256
naijasenti_pcm,imdb,20,0.0256
naijasenti_pcm,nollysenti_yor,20,0.0
naijasenti_pcm,tweet_eval,20,0.0256
naijasenti_pcm,nollysenti_pcm,20,0.0526
amazon_polarity,imdb,20,0.2903
amazon_polarity,nollysenti_yor,20,0.0
amazon_polarity,tweet_eval,20,0.1111
amazon_polarity,nollysenti_pcm,20,0.0811
imdb,nollysenti_yor,20,0.0
imdb,tweet_eval,20,0.0811
imdb,nollysenti_pcm,20,0.2121
nollysenti_yor,tweet_eval,20,0.0
nollysenti_yor,nollysenti_pcm,20,0.0
tweet_eval,nollysenti_pcm,20,0.0256
naijasenti_yor,naijasenti_pcm,50,0.0101
naijasenti_yor,amazon_polarity,50,0.0101
naijasenti_yor,imdb,50,0.0
naijasenti_yor,nollysenti_yor,50,0.0309
naijasenti_yor,tweet_eval,50,0.0101
naijasenti_yor,nollysenti_pcm,50,0.0
naijasenti_pcm,amazon_polarity,50,0.0753
naijasenti_pcm,imdb,50,0.0638
naijasenti_pcm,nollysenti_yor,50,0.0
naijasenti_pcm,tweet_eval,50,0.0526
naijasenti_pcm,nollysenti_pcm,50,0.0989
amazon_polarity,imdb,50,0.2821
amazon_polarity,nollysenti_yor,50,0.0
amazon_polarity,tweet_eval,50,0.1236
amazon_polarity,nollysenti_pcm,50,0.087
imdb,nollysenti_yor,50,0.0
imdb,tweet_eval,50,0.1236
imdb,nollysenti_pcm,50,0.1364
nollysenti_yor,tweet_eval,50,0.0
nollysenti_yor,nollysenti_pcm,50,0.0
tweet_eval,nollysenti_pcm,50,0.0309
naijasenti_yor,naijasenti_pcm,100,0.0101
naijasenti_yor,amazon_polarity,100,0.0101
naijasenti_yor,imdb,100,0.005
naijasenti_yor,nollysenti_yor,100,0.0471
naijasenti_yor,tweet_eval,100,0.0152
naijasenti_yor,nollysenti_pcm,100,0.0
naijasenti_pcm,amazon_polarity,100,0.105
naijasenti_pcm,imdb,100,0.0989
naijasenti_pcm,nollysenti_yor,100,0.0
naijasenti_pcm,tweet_eval,100,0.0811
naijasenti_pcm,nollysenti_pcm,100,0.0929
amazon_polarity,imdb,100,0.1905
amazon_polarity,nollysenti_yor,100,0.0
amazon_polarity,tweet_eval,100,0.1299
amazon_polarity,nollysenti_pcm,100,0.0929
imdb,nollysenti_yor,100,0.0
imdb,tweet_eval,100,0.1173
imdb,nollysenti_pcm,100,0.1236
nollysenti_yor,tweet_eval,100,0.0
nollysenti_yor,nollysenti_pcm,100,0.0
tweet_eval,nollysenti_pcm,100,0.0471
