dataset_1,dataset_2,spearman_corr,shared_tokens
naijasenti_yor,naijasenti_pcm,0.6571,6
naijasenti_yor,amazon_polarity,0.1429,7
naijasenti_yor,imdb,0.6571,6
naijasenti_yor,nollysenti_yor,-0.055,50
naijasenti_yor,tweet_eval,0.3714,6
naijasenti_yor,nollysenti_pcm,0.0,4
naijasenti_pcm,amazon_polarity,0.135,117
naijasenti_pcm,imdb,0.2088,131
naijasenti_pcm,nollysenti_yor,0.0,3
naijasenti_pcm,tweet_eval,0.3087,60
naijasenti_pcm,nollysenti_pcm,0.1425,77
amazon_polarity,imdb,0.362,354
amazon_polarity,nollysenti_yor,0.0,4
amazon_polarity,tweet_eval,0.3742,91
amazon_polarity,nollysenti_pcm,0.2158,113
imdb,nollysenti_yor,0.0,4
imdb,tweet_eval,0.3118,112
imdb,nollysenti_pcm,0.2698,151
nollysenti_yor,tweet_eval,0.0,1
nollysenti_yor,nollysenti_pcm,0.6,5
tweet_eval,nollysenti_pcm,0.2331,47
